condition,ai_access_mean,ai_reliability,verification_support,peer_response_probability,metric,mean,ci_low,ci_high,n
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,edge_count_ratio,1.0233333333333332,1.0206603775759981,1.0260062890906683,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,new_edge_ratio,0.023333333333333296,0.020660377575998205,0.026006289090668388,20
A0.35_R0.74_V0.30_P0.90,0.35,0.74,0.3,0.9,strong_tie_fraction,0.6466563561408294,0.6397440261201923,0.6535686861614665,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_peer_share,0.47890000000000005,0.4734550652722239,0.4843449347277762,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_ai_share,0.28919999999999996,0.284234442556525,0.2941655574434749,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_hybrid_share,0.2319,0.2284617666200474,0.23533823337995258,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_human_interaction_rate,0.7108000000000001,0.7058344425565252,0.715765557443475,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_ai_use_rate,0.5210999999999999,0.5156550652722237,0.5265449347277761,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_quality,0.5849967848657224,0.5815844139193185,0.5884091558121263,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_success_rate,0.4182444444444444,0.407883067038024,0.4286058218508648,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_knowledge,0.6405028642152762,0.6363471781373881,0.6446585502931644,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_knowledge_gini,0.08423531947403681,0.0821544316626975,0.08631620728537613,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_knowledge_rank_corr_with_initial,0.9912498105782204,0.9906334582657197,0.991866162890721,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_performance_gini,0.1025826668558317,0.10156229830019564,0.10360303541146776,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_ai_trust,0.5692154747416025,0.5686205042988057,0.5698104451843993,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_peer_trust,0.5650239101648331,0.5621033938181658,0.5679444265115005,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_tie_strength,0.4364071610569954,0.4354016319150491,0.4374126901989417,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_network_density,0.05768702669149593,0.05755699135392705,0.057817062029064815,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_weighted_degree,4.506260653675928,4.49175888753006,4.5207624198217955,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_recent_active_tie_fraction,0.9303616618997166,0.9281447550064164,0.9325785687930168,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_unique_peer_partners,11.024666666666667,10.977360509202146,11.071972824131187,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_peer_marginal,0.00940743133800822,0.00906668453483704,0.0097481781411794,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,final_mean_ai_availability_probability,0.8494877172357016,0.8476588382364048,0.8513165962349984,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,edge_retention_ratio,1.0,1.0,1.0,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,edge_count_ratio,1.034888888888889,1.03243583323654,1.037341944541238,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,new_edge_ratio,0.034888888888888844,0.032435833236539896,0.03734194454123779,20
A0.35_R0.74_V0.70_P0.60,0.35,0.74,0.7,0.6,strong_tie_fraction,0.6401774053286887,0.6337249671177014,0.646629843539676,20
A0.35_R0.74_V0.70_P0.90,0.35,0.74,0.7,0.9,final_peer_share,0.47698888888888885,0.4731637738947984,0.4808140038829793,20
A0.35_R0.74_V0.70_P0.90,0.35,0.74,0.7,0.9,final_ai_share,0.2888333333333333,0.28467185413829366,0.2929948125283729,20
A0.35_R0.74_V0.70_P0.90,0.35,0.74,0.7,0.9,final_hybrid_share,0.23417777777777773,0.23156326493316323,0.23679229062239224,20
A0.35_R0.74_V0.70_P0.90,0.35,0.74,0.7,0.9,final_human_interaction_rate,0.7111666666666667,0.7070051874716271,0.7153281458617063,20
