factor,level,multiplier,metric,mean,ci_low,ci_high,n
choice_temperature,-20%,0.8,edge_count_ratio,1.0159444444444443,1.0141251705664953,1.0177637183223933,20
choice_temperature,-20%,0.8,new_edge_ratio,0.015944444444444414,0.014125170566495296,0.017763718322393533,20
choice_temperature,-20%,0.8,strong_tie_fraction,0.6324335282729789,0.62464484982256,0.6402222067233979,20
expected_quality_weight,+20%,1.2,final_peer_share,0.4030444444444444,0.39763205843376515,0.4084568304551237,20
expected_quality_weight,+20%,1.2,final_ai_share,0.3536666666666667,0.34794459993335575,0.3593887333999776,20
expected_quality_weight,+20%,1.2,final_hybrid_share,0.24328888888888883,0.23936428995231052,0.24721348782546715,20
expected_quality_weight,+20%,1.2,final_human_interaction_rate,0.6463333333333333,0.6406112666000224,0.6520554000666442,20
expected_quality_weight,+20%,1.2,final_ai_use_rate,0.5969555555555555,0.5915431695448762,0.6023679415662347,20
expected_quality_weight,+20%,1.2,final_mean_quality,0.5893893761547794,0.5864180643788137,0.592360687930745,20
expected_quality_weight,+20%,1.2,final_success_rate,0.42936666666666656,0.42050049447413834,0.4382328388591948,20
expected_quality_weight,+20%,1.2,final_mean_knowledge,0.6457536727209228,0.6418379875269066,0.649669357914939,20
expected_quality_weight,+20%,1.2,final_knowledge_gini,0.0811610739439941,0.07910582207227529,0.08321632581571292,20
expected_quality_weight,+20%,1.2,final_knowledge_rank_corr_with_initial,0.9893468939719959,0.9886168941611715,0.9900768937828204,20
expected_quality_weight,+20%,1.2,final_performance_gini,0.099816574326051,0.09896843857400617,0.10066471007809583,20
expected_quality_weight,+20%,1.2,final_mean_ai_trust,0.5933481259770552,0.5928213833947784,0.593874868559332,20
expected_quality_weight,+20%,1.2,final_mean_peer_trust,0.5636109755039216,0.5610680873273951,0.5661538636804481,20
expected_quality_weight,+20%,1.2,final_mean_tie_strength,0.43486515742540355,0.4338454466736097,0.4358848681771974,20
expected_quality_weight,+20%,1.2,final_network_density,0.05694140285536929,0.056827944748725455,0.05705486096201313,20
expected_quality_weight,+20%,1.2,final_mean_weighted_degree,4.432305978284942,4.419539638928961,4.445072317640924,20
expected_quality_weight,+20%,1.2,final_recent_active_tie_fraction,0.9118516603235278,0.909212561434682,0.9144907592123737,20
expected_quality_weight,+20%,1.2,final_mean_unique_peer_partners,10.686066666666665,10.641642436852809,10.730490896480521,20
expected_quality_weight,+20%,1.2,final_mean_peer_marginal,0.0078096763167037325,0.007453111777724238,0.008166240855683227,20
