step,difficulty,mean_quality,mean_knowledge,mean_trust_ai,mean_trust_peer,mean_performance,peer_events,ai_events,hybrid_events,success_rate,avg_tie_strength,HIRI,AMR,gini_performance,scenario,replication
31,0.5159260176182503,0.2524137349406459,0.686036646936379,0.0016060671848358904,0.00499979816706496,6.408647853872329,63,13,44,0.06666666666666667,0.7830113478053311,1.0,0.475,0.14383128259776837,baseline_human_only,1
32,0.4750889755471347,0.2649412741478623,0.6936954121664117,0.0008725529546419473,0.0046247981670649585,6.673589128020191,64,15,41,0.05,0.7761196811386644,0.9813084112149533,0.4666666666666667,0.14244260771823922,baseline_human_only,1
33,0.7812225871951403,0.17909111180925397,0.6992962890465102,0.0007099173350272808,0.0032081315003982926,6.852680239829444,67,11,42,0.025,0.7685530144719976,1.0186915887850467,0.44166666666666665,0.1428915523712354,baseline_human_only,1
34,0.3999126439520059,0.30320688695682396,0.7082691005446854,0.0007099173350272808,0.007583131500398294,7.1558871267862685,66,14,40,0.15,0.7639988478053309,0.9906542056074766,0.45,0.14262658869718753,baseline_human_only,1
35,0.897395610023811,0.13556435557002283,0.7121926651603996,0.00027331410945386744,0.0014581315003982921,7.291451482356291,63,14,43,0.0,0.7559530144719976,0.9906542056074766,0.475,0.14271971183102608,baseline_human_only,1
36,0.7803519684303837,0.1568905480424533,0.7160122132044204,0.0,0.0009164648337316254,7.448342030398745,48,18,54,0.008333333333333333,0.7482821811386644,0.9532710280373832,0.6,0.1436229186526295,baseline_human_only,1
37,0.4800285195442915,0.2645921870992395,0.7234974733592509,0.0,0.0037645332771088177,7.712934217497984,60,23,37,0.09166666666666666,0.7426946811386643,0.9065420560747663,0.5,0.14273830091354742,baseline_human_only,1
38,0.4473612168886999,0.2696510593824429,0.7304513784401832,0.0,0.004931199943775485,7.982585276880426,59,16,45,0.09166666666666666,0.7367655144719977,0.9719626168224299,0.5083333333333333,0.1409961605240253,baseline_human_only,1
39,0.6204490763968236,0.21788897868647947,0.7359138888682357,0.0,0.004097866610442151,8.200474255566906,52,20,48,0.05,0.7302071811386643,0.9345794392523364,0.5666666666666667,0.1409794606869312,baseline_human_only,1
40,0.4134284354003197,0.27720296868685196,0.7424552770043114,0.0,0.0070145332771088175,8.477677224253759,56,23,41,0.13333333333333333,0.7255363478053309,0.9065420560747663,0.5333333333333333,0.1412587843608485,baseline_human_only,1
41,0.7543525488898768,0.2088245495687933,0.7480915154596992,0.0,0.0020978666104421507,8.686501773822553,65,7,48,0.008333333333333333,0.7173196811386643,1.0560747663551402,0.4583333333333333,0.14226231046328355,baseline_human_only,1
42,0.41630371015167367,0.29583181549345644,0.7553342996773599,0.0,0.007764533277108817,8.982333589316006,58,18,44,0.16666666666666666,0.7132696811386642,0.9532710280373832,0.5166666666666667,0.1428312131039834,baseline_human_only,1
43,0.7821477787761639,0.19600764323353387,0.7596590322084935,0.0,0.0030145332771088175,9.178341232549542,57,12,51,0.025,0.7055196811386643,1.0093457943925233,0.525,0.1444362730722341,baseline_human_only,1
44,0.844104099022813,0.18068691169503978,0.7637896239035966,0.0,0.0016250000000000001,9.359028144244583,60,15,45,0.016666666666666666,0.6977155144719975,0.9813084112149533,0.5,0.14555577099624362,baseline_human_only,1
45,0.6370893364757559,0.23728913112635722,0.7682172841178585,0.0,0.0047083333333333335,9.59631727537094,53,18,49,0.1,0.6919655144719975,0.9532710280373832,0.5583333333333333,0.1463052962746413,baseline_human_only,1
46,0.671465881395406,0.21532802101881796,0.7725618144779032,0.0,0.005875000000000001,9.81164529638976,53,20,47,0.075,0.6858155144719976,0.9345794392523364,0.5583333333333333,0.14730909749461002,baseline_human_only,1
47,0.46842555305896527,0.3040933647522079,0.7791830883916504,0.0,0.011291666666666669,10.115738661141965,60,14,46,0.18333333333333332,0.6820280144719976,0.9906542056074766,0.5,0.14667874797072414,baseline_human_only,1
48,0.5154130340621206,0.25280701739081274,0.7837464470949759,0.0,0.012208333333333337,10.368545678532776,48,21,51,0.14166666666666666,0.6773738478053309,0.9252336448598131,0.6,0.1464465318535846,baseline_human_only,1
49,0.6418561504698732,0.23748909013619984,0.7891688791240377,0.0,0.012416666666666668,10.606034768668978,60,20,40,0.10833333333333334,0.6716571811386643,0.9345794392523364,0.5,0.1466994278785493,baseline_human_only,1
50,0.8615307047413534,0.17836801274505312,0.7929265041129376,0.0,0.00625,10.78440278141403,54,12,54,0.008333333333333333,0.6632946811386643,1.0093457943925233,0.55,0.14691869749481343,baseline_human_only,1
51,0.41735233049492476,0.3191705681803908,0.798856960651211,0.0,0.01204166666666667,11.103573349594422,57,11,52,0.19166666666666668,0.6593738478053309,1.0186915887850467,0.525,0.14717691276219486,baseline_human_only,1
52,0.620700529357771,0.2557891217002783,0.8038105069049065,0.0,0.013125000000000001,11.3593624712947,57,15,48,0.15,0.6547196811386643,0.9813084112149533,0.525,0.14741395656787024,baseline_human_only,1
53,0.45375184794824003,0.32155116488072916,0.8102665368474897,0.0,0.018000000000000002,11.680913636175429,62,20,38,0.225,0.6522280144719975,0.9345794392523364,0.48333333333333334,0.14650683157190228,baseline_human_only,1
54,0.334433948651693,0.34866278669341866,0.8160189691677646,0.0,0.02095833333333334,12.029576422868846,57,15,48,0.26666666666666666,0.6502363478053309,0.9813084112149533,0.525,0.14510867604341182,baseline_human_only,1
55,0.41242156243078704,0.36774425832847274,0.8231641140686011,0.0,0.027791666666666666,12.39732068119732,65,11,44,0.3416666666666667,0.6496821811386643,1.0186915887850467,0.4583333333333333,0.1436688942572005,baseline_human_only,1
56,0.749839511214389,0.2308967043569412,0.8280802744229379,0.0,0.01566666666666667,12.628217385554262,59,14,47,0.041666666666666664,0.6424280144719975,0.9906542056074766,0.5083333333333333,0.1429810740379697,baseline_human_only,1
57,0.6026786762374023,0.2906679239808418,0.8339490812409406,0.0,0.018000000000000002,12.918885309535105,62,14,44,0.2,0.6389613478053309,0.9906542056074766,0.48333333333333334,0.14293060193220095,baseline_human_only,1
58,0.7565450333269103,0.23350095546467825,0.8378617614842547,0.0,0.012958333333333334,13.15238626499978,57,18,45,0.075,0.6329905144719975,0.9532710280373832,0.525,0.14402235504617283,baseline_human_only,1
59,0.8101751308119123,0.22604228797076545,0.842419105457266,0.0,0.007625000000000002,13.378428552970545,62,14,44,0.03333333333333333,0.6258155144719976,0.9906542056074766,0.48333333333333334,0.14335401147979562,baseline_human_only,1
60,0.7837158792256091,0.2131192112753115,0.8469237542580693,0.0,0.0055000000000000005,13.591547764245858,57,17,46,0.03333333333333333,0.6188405144719975,0.9626168224299065,0.525,0.1427932800598964,baseline_human_only,1
1,0.469245402207892,0.27647129657469655,0.5198664618444419,0.5052579458892714,0.5433624714620835,0.27647129657469655,66,16,38,0.016666666666666666,1.001265412081635,1.0,0.45,0.1898790141051195,baseline_human_only,2
2,0.534607971706154,0.23666350878081083,0.5258059060756645,0.4806746125559381,0.5007374714620834,0.5131348053555074,61,16,43,0.008333333333333333,0.9966904120816351,1.0,0.49166666666666664,0.15978311620813826,baseline_human_only,2
